NAME,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,POPESTIMATE2015,POPESTIMATE2016,POPESTIMATE2017
Cypress city,47860,47965,48445,48773,49089,49078,49150,48989,49064
Dana Point city,33293,33347,33671,33902,34049,34032,34083,34062,33934
Fountain Valley city,55360,55484,56008,56433,56739,56840,56828,56631,56313
Fullerton city,135239,135333,136531,138388,138977,139243,140437,140968,140392
Garden Grove city,170960,171228,173137,174166,174852,174934,174906,175206,174226
Huntington Beach city,191037,191342,193184,194563,197588,200188,201300,201004,201874
Irvine city,212043,213435,220454,229456,236574,247804,256186,266385,277453
Laguna Beach city,22730,22767,22997,23141,23266,23279,23302,23244,23147
Laguna Hills city,30212,30259,30549,30740,30867,30838,31611,31504,31318
Laguna Niguel city,62985,63131,63834,64262,64538,65270,65612,65382,66334
Laguna Woods city,16046,16072,16221,16323,16387,16369,16360,16300,16200
La Habra city,60287,60393,61000,61382,61667,61893,61961,61797,62466
Lake Forest city,77448,77574,78380,78888,79306,79911,82236,83337,84293
La Palma city,15526,15550,15693,15790,15886,15868,15859,15801,15722
Los Alamitos city,11404,11421,11529,11609,11654,11691,11685,11655,11603
Mission Viejo city,93112,93259,94128,94832,96252,96924,96877,96519,96016
Newport Beach city,85219,85358,86168,86706,87101,86956,86882,86842,86160
Orange city,136432,136794,138329,139299,139964,139480,140611,140746,140560
Placentia city,50917,51008,51558,51947,52235,52262,52375,52343,52157
Rancho Santa Margarita city,47855,47929,48380,48687,49160,49213,49187,49006,48793
San Clemente city,63482,63603,64302,64727,64989,65123,65340,65411,65267
San Juan Capistrano city,34427,34492,34900,35173,35618,35890,36061,36081,36064
Santa Ana city,324796,325427,328571,331222,334538,334398,334472,334953,334136
Seal Beach city,24077,24116,24347,24507,24599,24581,24556,24492,24326
Stanton city,37827,37909,38266,38446,38635,38601,38762,38741,38528
Tustin city,75316,75491,76301,77730,78314,80377,80352,80540,80498
Villa Park city,5822,5831,5888,5925,5955,5951,5948,5928,5895
Westminster city,89613,89789,90792,91397,91832,91806,91856,91809,91564
Yorba Linda city,64169,64407,65679,66419,66972,67565,67755,68296,68229
Balance of Orange County,120353,120588,122169,123639,124717,127505,130445,131718,134083
Placer County,348494,350034,356445,360569,365822,369727,373469,379742,386166
Auburn city,13305,13339,13518,13615,13827,13889,13885,13936,13997
Colfax city,1950,1957,1976,1988,1998,2005,1997,2003,2005
Lincoln city,42932,43110,43795,44289,45082,45803,46382,47086,47674
Loomis town,6419,6437,6528,6587,6650,6696,6702,6756,6809
Rocklin city,57117,57462,58434,58998,59670,60132,61001,62733,64838
Roseville city,119164,119809,122653,124424,126801,128456,130118,132873,135329
Balance of Placer County,107607,107920,109541,110668,111794,112746,113384,114355,115514
Plumas County,20007,19914,19716,19377,18899,18667,18525,18787,18742
Portola city,2104,2093,2060,2013,1960,1933,1915,1938,1930
Balance of Plumas County,17903,17821,17656,17364,16939,16734,16610,16849,16812
Riverside County,2189753,2202001,2235890,2264804,2291406,2321738,2352080,2386522,2423266
Banning city,29594,29729,30011,30258,30479,30670,30820,31017,31230
Beaumont city,36800,37200,38474,39277,40349,42028,43532,45228,46967
Blythe city,20779,20473,20203,20570,19784,19188,19123,19699,19630
Calimesa city,7885,7923,8004,8104,8213,8392,8504,8630,8817
Canyon Lake city,10561,10609,10714,10805,10887,10975,11038,11121,11223
Cathedral City city,51254,51485,52138,52576,52969,53326,53667,54094,54596
Coachella city,40724,41007,41926,42652,43057,44003,44473,44916,45443
Corona city,152430,153193,154911,157726,159139,160838,163600,166507,167836
Desert Hot Springs city,27052,27174,27445,27675,27879,28082,28228,28483,28757
Eastvale city,53683,54053,55056,55816,56537,57798,59783,61369,63211
Hemet city,78728,79202,80382,81246,81969,82817,83606,84419,85160
Indian Wells city,4958,4983,5044,5095,5146,5203,5266,5333,5404
Indio city,79116,79638,81088,82373,83526,85341,87170,88468,89793
Jurupa Valley city,95005,95625,97274,98495,99643,100276,101669,103440,106028
Lake Elsinore city,53418,53744,55227,56231,57927,60357,62222,64088,66411
La Quinta city,37468,37681,38171,38553,39192,39830,40305,40874,41304
Menifee city,77519,78080,79867,81292,83358,84875,86799,88465,90595
Moreno Valley city,193312,194279,196726,198479,200529,202216,203325,205090,207226
Murrieta city,103606,104123,105330,106551,107462,108191,109571,111719,113326
Norco city,27063,27094,27229,27332,26914,26887,26198,26688,26761
Palm Desert city,48450,48693,49284,49843,50445,51017,51663,52182,52932
Palm Springs city,44538,44772,45236,45757,46214,46703,47187,47646,48142
Perris city,68550,69001,70469,71331,72436,73667,74829,76284,77879
Rancho Mirage city,17166,17245,17395,17524,17665,17825,17956,18122,18306
Riverside city,303985,305571,309726,312770,316079,318352,321179,324336,327728
San Jacinto city,44199,44410,44977,45418,45909,46333,46762,47442,48254
Temecula city,100048,100755,102746,104470,106289,108926,111418,112673,114327
Wildomar city,32220,32434,32952,33308,33745,35248,35477,36103,36932
Balance of Riverside County,349642,351825,357885,363277,367665,372374,376710,382086,389048
Sacramento County,1418742,1421651,1434506,1446585,1459474,1477522,1496130,1513260,1530615
Citrus Heights city,83261,83365,83903,84489,85123,85891,86759,87380,87931
Elk Grove city,153015,153424,155719,158295,160510,163017,166306,169454,171844
Folsom city,72203,72179,72636,73183,72946,75136,76121,77180,78038
Galt city,23647,23690,24098,24247,24412,24747,25209,25603,26172
Isleton city,804,805,811,816,820,827,833,839,845
Rancho Cordova city,64805,65080,66007,66803,67823,69513,70756,72273,73563
Sacramento city,466394,467382,471170,474804,478927,483629,488952,494894,501901
Balance of Sacramento County,554613,555726,560162,563948,568913,574762,581194,585637,590321
San Benito County,55269,55532,56034,56701,57370,57974,58364,59335,60310
Hollister city,34741,34916,35272,35727,36197,36690,36984,37579,38404
San Juan Bautista city,1851,1859,1871,1890,1909,1919,1939,1967,1976
Balance of San Benito County,18677,18757,18891,19084,19264,19365,19441,19789,19930
San Bernardino County,2035212,2041234,2062381,2076601,2086732,2104038,2120794,2137131,2157404
Adelanto city,31760,31667,31891,31139,31273,32602,33052,33343,34066
Apple Valley town,69139,69313,70069,70480,70832,71298,71921,72426,73077
Barstow city,22639,22703,22921,23036,23226,23416,23622,23823,23916
Big Bear Lake city,5018,5029,5073,5101,5118,5152,5196,5227,5262
Chino city,77972,78563,79547,79959,80846,84383,85282,87599,89797
Chino Hills city,74799,74985,75702,76163,76440,76693,78032,78652,80374
Colton city,52153,52276,52754,53028,53208,53829,54426,54632,54828
Fontana city,196468,197370,200046,201534,203084,204471,206720,209268,211815
Grand Terrace city,12040,12066,12165,12262,12328,12366,12422,12490,12595
Hesperia city,90173,90370,91316,91786,92036,92372,92980,93568,94859
Highland city,53104,53226,53707,54016,54248,54443,54680,54864,55342
Loma Linda city,23287,23353,23537,23655,23718,23790,23997,24129,24196
Montclair city,36664,36769,37330,37520,38021,38325,38574,38910,39276
Needles city,4836,4847,4891,4915,4925,4950,4967,4985,5007
Ontario city,163921,164391,165866,166858,167396,168459,170613,172955,175841
Rancho Cucamonga city,165372,166250,168047,170205,171138,173615,174646,176213,177452
Redlands city,68667,68813,69359,69728,69924,70364,70797,71196,71554
Rialto city,99150,99391,100684,101473,101784,102307,102781,103171,103562
San Bernardino city,209961,210182,211816,212969,213690,214200,215350,216018,216995
Twentynine Palms city,25048,25104,25381,25642,25724,25805,25928,25993,26542
Upland city,73713,73893,74517,75038,75328,75710,76159,76552,76999
Victorville city,115921,116322,118009,120040,120968,121418,121817,122096,122441
Yucaipa city,51371,51508,52020,52384,52676,52882,53146,53343,53683
Yucca Valley town,20700,20747,20928,21067,21130,21397,21525,21629,21748
Balance of San Bernardino County,291336,292096,294805,296603,297671,299791,302161,304049,306177
San Diego County,3095342,3103793,3139767,3179798,3216522,3256875,3290044,3317200,3337685
Carlsbad city,105569,105936,107799,109394,111154,112148,113250,113920,115330
Chula Vista city,243920,244693,248540,252843,257248,260561,265008,267203,270471
Coronado city,24702,23966,23355,23230,23384,23598,23739,25150,24417
Del Mar city,4163,4174,4205,4244,4282,4310,4343,4363,4363
El Cajon city,99514,99771,100813,101645,102441,102969,103445,103793,103894
Encinitas city,59519,59689,60311,60991,61677,62169,62758,63124,63184
Escondido city,143976,144464,146225,147834,149111,150085,151119,151717,151969
Imperial Beach city,26324,26388,26638,26867,27086,27121,27339,27424,27418
La Mesa city,57013,57157,57692,58203,58680,59004,59872,59955,60021
Lemon Grove city,25318,25385,25626,25981,26172,26474,26636,26863,27108
National City city,58560,58634,59089,59468,59888,60271,60885,61160,61363
Oceanside city,166992,167555,169599,171334,172976,174190,175126,175473,176193
Poway city,47806,47961,48666,49084,49480,49774,50018,50080,50041
San Diego city,1301948,1306176,1320638,1338975,1358207,1379123,1391040,1406682,1419516
San Marcos city,83657,83972,85109,87012,89658,92665,93537,95346,96198
Santee city,53416,53647,54566,55475,56267,56970,57635,57876,58113
Solana Beach city,12867,12900,13024,13139,13248,13317,13413,13446,13444
Vista city,93501,93734,94756,95798,96731,97562,100236,101420,101568
Balance of San Diego County,486577,487591,493116,498281,498832,504564,510645,512205,513074
San Francisco County,805193,805770,816294,830406,841270,853258,866320,876103,884363
San Francisco city,805193,805770,816294,830406,841270,853258,866320,876103,884363
San Joaquin County,685308,687291,695071,700958,703747,713452,723846,734294,745424
Escalon city,7132,7146,7206,7241,7246,7374,7505,7533,7588
Lathrop city,18023,18137,18772,19090,19608,20015,20801,22086,22781
Lodi city,62134,62280,62817,63180,63290,63792,64401,64695,65884
Manteca city,67276,67677,69246,70956,71871,73287,75192,76935,79268
Ripon city,14297,14338,14499,14633,14718,14916,15095,15460,15677
Stockton city,291726,292497,295208,297162,297743,301373,304723,307270,310496
Tracy city,83353,83569,84319,84824,85006,85864,87064,89290,90889
Balance of San Joaquin County,141367,141647,143004,143872,144265,146831,149065,151025,152841
San Luis Obispo County,269591,269819,271150,274378,275973,278534,280402,282282,283405
Arroyo Grande city,17279,17298,17367,17542,17720,17884,18053,18088,18123
Atascadero city,28304,28412,28591,28735,29016,29359,29940,30228,30418
El Paso de Robles (Paso Robles) city,29785,29828,30124,30467,30790,31183,31423,31818,31918
Grover Beach city,13157,13173,13211,13316,13414,13476,13541,13605,13628
Morro Bay city,10234,10245,10284,10373,10458,10508,10589,10628,10635
Pismo Beach city,7650,7663,7694,7782,7858,7902,8118,8185,8237
San Luis Obispo city,45164,45204,45408,45811,46332,46573,47115,47438,47541
Balance of San Luis Obispo County,118018,117996,118471,120352,120385,121649,121623,122292,122905
San Mateo County,718500,719899,729022,740644,750345,759156,766779,769561,771410
Atherton town,6920,6918,6957,7037,7103,7146,7180,7252,7238
Belmont city,25835,25880,26199,26561,26832,27083,27265,27233,27140
Brisbane city,4282,4291,4349,4411,4463,4614,4725,4724,4721
Burlingame city,28806,28847,29287,29695,29994,30334,30523,30502,30686
Colma town,1443,1445,1463,1483,1498,1511,1522,1521,1514
Daly City city,101116,101293,102558,104116,105217,106163,106773,107112,107074
East Palo Alto city,28155,28230,28579,28983,29279,29560,29728,29875,29765
Foster City city,30567,30618,30994,32160,32490,32783,33547,34361,34412
Half Moon Bay city,11324,11348,11512,11698,12079,12382,12677,12780,12870
Hillsborough town,10825,10849,10997,11138,11273,11394,11477,11497,11486
Menlo Park city,32019,32088,32496,32901,33107,33322,33512,34079,34357
Millbrae city,21537,21579,21867,22164,22529,22729,22851,22812,22718
Pacifica city,37304,37371,37845,38374,38775,39140,39362,39314,39087
Portola Valley town,4353,4360,4414,4474,4524,4584,4613,4622,4611
Redwood City city,76827,77044,78050,79347,81225,82960,85476,85479,86685
San Bruno city,41067,41115,41554,42164,42643,43059,43292,43241,43299
San Carlos city,28383,28430,28782,29184,29497,29806,29974,29963,30499
San Mateo city,97207,97425,98622,100023,101565,102973,103754,104603,104748
South San Francisco city,63654,63752,64542,65742,66421,67021,67406,67397,67429
Woodside town,5283,5292,5357,5422,5482,5534,5567,5581,5564
Balance of San Mateo County,61593,61724,62598,63567,64349,65058,65555,65613,65507
Santa Barbara County,423949,424338,426058,430827,435980,440628,443927,446296,448150
Buellton city,4849,4857,4885,4934,4997,5060,5094,5127,5135
Carpinteria city,12997,13011,13034,13174,13498,13610,13653,13653,13622
Goleta city,29914,29969,30038,30286,30554,30808,30898,30870,31116
Guadalupe city,7080,7087,7101,7158,7215,7275,7308,7320,7370
Lompoc city,42440,42334,42245,43184,43518,44026,44083,43723,43542
Santa Barbara city,88375,88486,88730,89520,90369,91144,91622,91916,92101
Santa Maria city,99595,99714,100440,101393,102392,103404,104876,106302,107014
Solvang city,5223,5233,5262,5316,5369,5485,5702,5776,5909
Balance of Santa Barbara County,133476,133647,134323,135862,138068,139816,140691,141609,142341
Santa Clara County,1781671,1786542,1813812,1841868,1870935,1896246,1919220,1931575,1938153
Campbell city,39343,39448,39841,40393,40781,41164,41150,41198,41544
Cupertino city,58572,58719,59244,59915,60356,60751,60624,61016,60777
Gilroy city,48810,48948,49674,50757,51944,52585,53260,55396,57664
Los Altos city,29001,29076,29479,29856,30064,30326,30691,30755,30743
Los Altos Hills town,8043,8064,8148,8275,8358,8453,8476,8571,8580
Los Gatos town,29444,29529,29878,30233,30517,30770,30737,30756,30724
Milpitas city,66815,66743,67183,69005,70108,73726,77611,77957,78106
Monte Sereno city,3372,3386,3418,3464,3506,3537,3550,3572,3578
Morgan Hill city,37905,38015,38811,39509,41060,42106,42988,44446,45037
Mountain View city,74020,74270,75194,76684,78155,79349,80477,80963,81438
Palo Alto city,64409,64576,65432,66258,66800,67031,66904,67490,67178
San Jose city,952574,955255,971352,985722,1003735,1016708,1027560,1031942,1035317
Santa Clara city,116497,116838,117994,119646,120822,122304,126274,126697,127134
Saratoga city,30004,30096,30392,30759,31040,31086,31028,30997,30905
Sunnyvale city,140060,140502,143944,146757,148411,150120,151855,153797,153656
Balance of Santa Clara County,82802,83077,83828,84635,85278,86230,86035,86022,85772
Santa Cruz County,262366,263216,265103,266794,269395,271529,274299,275196,275897
Capitola city,9908,9918,9967,10018,10077,10130,10185,10197,10180
Santa Cruz city,59945,60591,61480,62040,62846,63299,64238,64545,65021
Scotts Valley city,11574,11584,11633,11675,11772,11864,11948,11952,11945
Watsonville city,51204,51279,51626,51960,52509,53073,53664,53910,54098
Balance of Santa Cruz County,129735,129844,130397,131101,132191,133163,134264,134592,134653
Shasta County,177223,177284,177595,177917,178445,178983,178472,178774,179921
Anderson city,9932,9940,9991,10029,10092,10162,10156,10173,10370
Redding city,89861,89903,90187,90421,90796,91192,91045,91308,91794
Shasta Lake city,10164,10146,10099,10097,10109,10115,10098,10113,10190
Balance of Shasta County,67266,67295,67318,67370,67448,67514,67173,67180,67567
Sierra County,3240,3221,3100,3068,3030,2979,2994,2964,2999
Loyalton city,766,761,732,722,714,702,706,699,706
Balance of Sierra County,2474,2460,2368,2346,2316,2277,2288,2265,2293
Siskiyou County,44900,44939,44614,44082,43543,43390,43351,43511,43853
Dorris city,939,941,930,915,902,901,905,905,907
Dunsmuir city,1640,1639,1619,1595,1572,1569,1574,1575,1580
Etna city,737,736,730,722,714,711,713,715,720
Fort Jones city,710,709,702,692,686,685,685,687,692
Montague city,1443,1444,1431,1413,1395,1392,1393,1395,1406
Mount Shasta city,3394,3392,3354,3313,3266,3276,3280,3280,3302
Tulelake city,1010,1012,1005,995,988,987,991,989,994
Weed city,2967,2982,2981,2938,2883,2714,2547,2651,2716
Yreka city,7765,7792,7745,7649,7551,7545,7558,7570,7600
Balance of Siskiyou County,24295,24292,24117,23850,23586,23610,23705,23744,23936
Solano County,413344,414076,416652,420267,424384,429993,434751,440318,445458
Benicia city,26994,27029,27170,27381,27588,27853,28079,28183,28343
Dixon city,18392,18411,18476,18621,18939,19115,19332,19806,20202
Fairfield city,105398,105557,106257,107579,109255,110913,112642,114776,116266
Rio Vista city,7367,7392,7456,7565,7734,8031,8318,8640,9009
Suisun City city,28095,28142,28325,28542,28755,29168,29391,29496,29639
Vacaville city,92422,92582,93290,93781,94170,95605,96512,98313,100032
Vallejo city,115943,116196,116827,117799,118789,119913,120887,121376,122105
Balance of Solano County,18733,18767,18851,18999,19154,19395,19590,19728,19862
Sonoma County,483870,484827,487822,490740,495007,499563,502096,503833,504217
Cloverdale city,8634,8642,8678,8700,8754,8797,8823,8829,8803
Cotati city,7265,7274,7308,7331,7389,7425,7447,7464,7479
Healdsburg city,11254,11312,11360,11409,11507,11637,11735,11840,11840
Petaluma city,57941,58020,58255,58785,59415,59842,60411,60593,60870
Rohnert Park city,40818,40860,41018,41125,41396,42180,42384,42669,42838
Santa Rosa city,167824,168062,169205,170205,171875,173842,174873,175320,175269
Sebastopol city,7392,7401,7471,7523,7594,7646,7674,7686,7666
Sonoma city,10652,10665,10711,10816,10887,10987,11034,11073,11108
Windsor town,26795,26819,26909,27036,27216,27343,27450,27580,27548
Balance of Sonoma County,145295,145772,146907,147810,148974,149864,150265,150779,150796
Stanislaus County,514451,515242,518034,521349,524625,529544,535000,541353,547899
Ceres city,45894,45960,46154,46401,46646,47114,47658,48246,48697
Hughson city,6640,6656,6711,6852,6995,7188,7334,7416,7498
Modesto city,203119,203344,204207,205406,206535,208250,209938,212035,214221
Newman city,10263,10277,10539,10601,10658,10747,10878,11113,11361
Oakdale city,20736,20819,20960,21251,21495,21816,22188,22649,23150
Patterson city,20499,20521,20607,20733,20900,21203,21451,21777,22124
Riverbank city,22678,22769,23129,23270,23455,23677,23965,24374,24740
Turlock city,68619,68768,69217,69748,70319,70970,71909,72751,73556
Waterford city,8456,8465,8500,8551,8593,8699,8771,8856,8947
Balance of Stanislaus County,107547,107663,108010,108536,109029,109880,110908,112136,113605
Sutter County,94743,94764,94560,94342,94702,94983,95524,96058,96648
Live Oak city,8466,8465,8558,8376,8392,8407,8438,8741,8774
Yuba City city,65634,65650,65419,65382,65667,65888,66290,66429,66860
Balance of Sutter County,20643,20649,20583,20584,20643,20688,20796,20888,21014
Tehama County,63440,63563,63347,63241,62916,62820,63128,63444,63926
Corning city,7663,7680,7645,7616,7556,7518,7528,7546,7592
Red Bluff city,14076,14092,14069,14068,14036,13998,14097,14171,14287
Tehama city,418,418,416,417,414,414,415,418,422
Balance of Tehama County,41283,41373,41217,41140,40910,40890,41088,41309,41625
Trinity County,13780,13749,13677,13482,13422,13122,13092,12839,12709
Tulare County,442178,443060,447358,450779,453663,456452,458601,460835,464493
Dinuba city,21453,21568,22631,22857,23293,23600,23635,23968,24034
Exeter city,10332,10343,10385,10440,10483,10518,10520,10514,10553
Farmersville city,10588,10587,10607,10662,10709,10743,10745,10741,10778
Lindsay city,11746,11764,12664,12793,12964,13137,13180,13250,13303
Porterville city,57323,57437,57866,58072,58241,58344,59083,59059,59145
Tulare city,59312,59463,59883,60781,61102,61662,62153,62808,63855
Visalia city,124452,124816,125726,126629,127590,128805,129735,131096,133010
Woodlake city,7279,7302,7320,7355,7605,7635,7634,7629,7649
Balance of Tulare County,139693,139780,140276,141190,141676,142008,141916,141770,142166
Tuolumne County,55365,55188,54832,54237,54018,53852,53589,53787,54248
Sonora city,4904,4898,4867,4818,4815,4805,4808,4820,4857
Balance of Tuolumne County,50461,50290,49965,49419,49203,49047,48781,48967,49391
Ventura County,823391,825298,830990,835143,840175,844749,848925,851096,854223
Camarillo city,65176,65293,65606,65807,66068,66736,67446,67468,67845
Fillmore city,14991,15021,15096,15154,15271,15374,15509,15637,15812
Moorpark city,34517,34647,34941,35073,35221,35580,36139,36618,36802
Ojai city,7461,7476,7515,7546,7583,7607,7613,7598,7582
Oxnard city,197969,198512,200101,201416,203246,205076,206908,208303,210037
Port Hueneme city,21723,21712,21762,21842,22148,22092,22395,22323,22327
San Buenaventura (Ventura) city,107234,107476,108440,109236,109622,109869,110093,110404,110790
Santa Paula city,29270,29335,29789,29979,30170,30435,30442,30368,30313
Simi Valley city,124243,124495,125156,125524,126179,126611,126589,126518,126878
Thousand Oaks city,126480,126754,127452,127898,128528,129004,129098,129038,128995
Balance of Ventura County,94327,94577,95132,95668,96139,96365,96693,96821,96842
Yolo County,200850,201101,202082,204890,206650,208873,212428,215959,219116
Davis city,65636,65590,65696,65879,66322,66691,67481,68118,68986
West Sacramento city,48744,48853,49143,49616,50080,51779,52564,53059,53512
Winters city,6624,6622,6837,6879,6909,6937,7018,7152,7273
Woodland city,55476,55547,55744,56281,56732,57376,58404,59102,60012
Balance of Yolo County,24370,24489,24662,26235,26607,26090,26961,28528,29333
Yuba County,72146,72351,72511,72832,73159,73642,74201,75185,77031
Marysville city,12072,12094,12099,12121,12165,12179,12171,12222,12413
Wheatland city,3504,3514,3519,3527,3510,3512,3735,3773,3842
Balance of Yuba County,56570,56743,56893,57184,57484,57951,58295,59190,60776
